sep=;
Rare Earth Elements Fund CHF - CH0111943673 (CHF)
Date;CCY Net Asset Value;Net Asset Value;CCY Adjusted Net Asset Value;Adjusted Net Asset Value;CCY Total Return;Total Return
2010-07-02;CHF;100;CHF;100;CHF;100
2010-07-09;CHF;101,8;CHF;101,8;CHF;101,8
2010-07-16;CHF;105,3;CHF;105,3;CHF;105,3
2010-07-23;CHF;108;CHF;108;CHF;108
2010-07-30;CHF;111,2;CHF;111,2;CHF;111,2
2010-08-06;CHF;116,1;CHF;116,1;CHF;116,1
2010-08-13;CHF;113,4;CHF;113,4;CHF;113,4
2010-08-20;CHF;117,3;CHF;117,3;CHF;117,3
2010-08-27;CHF;114,5;CHF;114,5;CHF;114,5
2010-09-03;CHF;121,3;CHF;121,3;CHF;121,3
2010-09-10;CHF;132,7;CHF;132,7;CHF;132,7
2010-09-17;CHF;136,9;CHF;136,9;CHF;136,9
2010-09-24;CHF;136,7;CHF;136,7;CHF;136,7
2010-10-01;CHF;147,4;CHF;147,4;CHF;147,4
2010-10-08;CHF;153,1;CHF;153,1;CHF;153,1
2010-10-15;CHF;159,4;CHF;159,4;CHF;159,4
2010-10-22;CHF;162,8;CHF;162,8;CHF;162,8
2010-10-29;CHF;161,3;CHF;161,3;CHF;161,3
2010-11-05;CHF;161,3;CHF;161,3;CHF;161,3
2010-11-12;CHF;163;CHF;163;CHF;163
2010-11-19;CHF;160,3;CHF;160,3;CHF;160,3
2010-11-26;CHF;170,5;CHF;170,5;CHF;170,5
2010-11-30;CHF;167,4;CHF;167,4;CHF;167,4
2010-12-03;CHF;170,7;CHF;170,7;CHF;170,7
2010-12-10;CHF;169,2;CHF;169,2;CHF;169,2
2010-12-17;CHF;172,3;CHF;172,3;CHF;172,3
2010-12-24;CHF;175,6;CHF;175,6;CHF;175,6
2010-12-31;CHF;193,5;CHF;193,5;CHF;193,5
2011-01-07;CHF;193,6;CHF;193,6;CHF;193,6
2011-01-14;CHF;203;CHF;203;CHF;203
2011-01-21;CHF;198,2;CHF;198,2;CHF;198,2
2011-01-28;CHF;200,4;CHF;200,4;CHF;200,4
2011-01-31;CHF;197,4;CHF;197,4;CHF;197,4
2011-02-04;CHF;213,2;CHF;213,2;CHF;213,2
2011-02-11;CHF;209,7;CHF;209,7;CHF;209,7
2011-02-18;CHF;215,7;CHF;215,7;CHF;215,7
2011-02-25;CHF;201,7;CHF;201,7;CHF;201,7
2011-02-28;CHF;208,1;CHF;208,1;CHF;208,1
2011-03-04;CHF;211,5;CHF;211,5;CHF;211,5
2011-03-11;CHF;199;CHF;199;CHF;199
2011-03-18;CHF;179,3;CHF;179,3;CHF;179,3
2011-03-25;CHF;197,7;CHF;197,7;CHF;197,7
2011-03-31;CHF;205,4;CHF;205,4;CHF;205,4
2011-04-01;CHF;205,8;CHF;205,8;CHF;205,8
2011-04-15;CHF;214,6;CHF;214,6;CHF;214,6
2011-04-21;CHF;211;CHF;211;CHF;211
2011-04-29;CHF;210,8;CHF;210,8;CHF;210,8
2011-05-06;CHF;203,1;CHF;203,1;CHF;203,1
2011-05-20;CHF;195;CHF;195;CHF;195
2011-05-27;CHF;195,1;CHF;195,1;CHF;195,1
2011-06-03;CHF;190,1;CHF;190,1;CHF;190,1
2011-06-10;CHF;180,6;CHF;180,6;CHF;180,6
2011-06-17;CHF;173,7;CHF;173,7;CHF;173,7
2011-06-24;CHF;178,2;CHF;178,2;CHF;178,2
2011-07-01;CHF;182,8;CHF;182,8;CHF;182,8
2011-07-08;CHF;187,4;CHF;187,4;CHF;187,4
2011-07-15;CHF;177,3;CHF;177,3;CHF;177,3
2011-07-22;CHF;183,9;CHF;183,9;CHF;183,9
2011-08-05;CHF;156,4;CHF;156,4;CHF;156,4
2011-08-12;CHF;148,3;CHF;148,3;CHF;148,3
2011-08-19;CHF;147,2;CHF;147,2;CHF;147,2
2011-08-26;CHF;146,1;CHF;146,1;CHF;146,1
2011-08-31;CHF;157,2;CHF;157,2;CHF;157,2
2011-09-02;CHF;155,6;CHF;155,6;CHF;155,6
2011-09-09;CHF;159,9;CHF;159,9;CHF;159,9
2011-09-16;CHF;155,3;CHF;155,3;CHF;155,3
2011-09-23;CHF;128,9;CHF;128,9;CHF;128,9
2011-09-30;CHF;125,3;CHF;125,3;CHF;125,3
2011-10-07;CHF;127,6;CHF;127,6;CHF;127,6
2011-10-14;CHF;132,9;CHF;132,9;CHF;132,9
2011-10-21;CHF;128,6;CHF;128,6;CHF;128,6
2011-10-28;CHF;139,9;CHF;139,9;CHF;139,9
2011-10-31;CHF;136,6;CHF;136,6;CHF;136,6
2011-11-04;CHF;136;CHF;136;CHF;136
2011-11-11;CHF;136,1;CHF;136,1;CHF;136,1
2011-11-18;CHF;128,8;CHF;128,8;CHF;128,8
2011-11-25;CHF;118,3;CHF;118,3;CHF;118,3
2011-12-02;CHF;130,5;CHF;130,5;CHF;130,5
2011-12-09;CHF;127,7;CHF;127,7;CHF;127,7
2011-12-16;CHF;118,3;CHF;118,3;CHF;118,3
2011-12-23;CHF;119,7;CHF;119,7;CHF;119,7
2011-12-30;CHF;117,8;CHF;117,8;CHF;117,8
2012-01-06;CHF;124,9;CHF;124,9;CHF;124,9
2012-01-13;CHF;130,1;CHF;130,1;CHF;130,1
2012-01-20;CHF;136,3;CHF;136,3;CHF;136,3
2012-01-27;CHF;137,8;CHF;137,8;CHF;137,8
2012-01-31;CHF;141,5;CHF;141,5;CHF;141,5
2012-02-03;CHF;146,8;CHF;146,8;CHF;146,8
2012-02-10;CHF;144,9;CHF;144,9;CHF;144,9
2012-02-17;CHF;142,9;CHF;142,9;CHF;142,9
2012-02-24;CHF;145,4;CHF;145,4;CHF;145,4
2012-02-29;CHF;140,5;CHF;140,5;CHF;140,5
2012-03-02;CHF;140,4;CHF;140,4;CHF;140,4
2012-03-09;CHF;137,3;CHF;137,3;CHF;137,3
2012-03-16;CHF;148,4;CHF;148,4;CHF;148,4
2012-03-23;CHF;141,1;CHF;141,1;CHF;141,1
2012-03-30;CHF;145,2;CHF;145,2;CHF;145,2
2012-04-05;CHF;141,1;CHF;141,1;CHF;141,1
2012-04-13;CHF;138,5;CHF;138,5;CHF;138,5
2012-04-20;CHF;134,9;CHF;134,9;CHF;134,9
2012-04-27;CHF;132,9;CHF;132,9;CHF;132,9
2012-04-30;CHF;132,7;CHF;132,7;CHF;132,7
2012-05-04;CHF;130,6;CHF;130,6;CHF;130,6
2012-05-11;CHF;122,8;CHF;122,8;CHF;122,8
2012-05-25;CHF;114,9;CHF;114,9;CHF;114,9
2012-06-01;CHF;115,3;CHF;115,3;CHF;115,3
2012-06-08;CHF;114,4;CHF;114,4;CHF;114,4
2012-06-15;CHF;114,4;CHF;114,4;CHF;114,4
2012-06-22;CHF;118,1;CHF;118,1;CHF;118,1
2012-06-29;CHF;114,2;CHF;114,2;CHF;114,2
2012-07-06;CHF;121;CHF;121;CHF;121
2012-07-13;CHF;114,1;CHF;114,1;CHF;114,1
2012-07-20;CHF;113,3;CHF;113,3;CHF;113,3
2012-07-27;CHF;106,6;CHF;106,6;CHF;106,6
2012-07-31;CHF;107,9;CHF;107,9;CHF;107,9
2012-08-03;CHF;105,7;CHF;105,7;CHF;105,7
2012-08-10;CHF;108,1;CHF;108,1;CHF;108,1
2012-08-17;CHF;108,8;CHF;108,8;CHF;108,8
2012-08-24;CHF;105,6;CHF;105,6;CHF;105,6
2012-08-31;CHF;100,8;CHF;100,8;CHF;100,8
2012-09-07;CHF;103,5;CHF;103,5;CHF;103,5
2012-09-14;CHF;109,4;CHF;109,4;CHF;109,4
2012-09-21;CHF;110,6;CHF;110,6;CHF;110,6
2012-09-28;CHF;105,3;CHF;105,3;CHF;105,3
2012-10-05;CHF;106,9;CHF;106,9;CHF;106,9
2012-10-12;CHF;102,5;CHF;102,5;CHF;102,5
2012-10-19;CHF;104,7;CHF;104,7;CHF;104,7
2012-10-26;CHF;100,5;CHF;100,5;CHF;100,5
2012-11-02;CHF;101,9;CHF;101,9;CHF;101,9
2012-11-09;CHF;98;CHF;98;CHF;98
2012-11-16;CHF;88,7;CHF;88,7;CHF;88,7
2012-11-23;CHF;94;CHF;94;CHF;94
2012-11-30;CHF;93,1;CHF;93,1;CHF;93,1
2012-12-07;CHF;93;CHF;93;CHF;93
2012-12-14;CHF;96,7;CHF;96,7;CHF;96,7
2012-12-21;CHF;95,3;CHF;95,3;CHF;95,3
2012-12-28;CHF;95,2;CHF;95,2;CHF;95,2
2013-01-04;CHF;101,3;CHF;101,3;CHF;101,3
2013-01-11;CHF;100,8;CHF;100,8;CHF;100,8
2013-01-18;CHF;101,3;CHF;101,3;CHF;101,3
2013-01-25;CHF;100,5;CHF;100,5;CHF;100,5
2013-02-01;CHF;97,7;CHF;97,7;CHF;97,7
2013-02-08;CHF;97;CHF;97;CHF;97
2013-02-15;CHF;97,5;CHF;97,5;CHF;97,5
2013-02-22;CHF;93,9;CHF;93,9;CHF;93,9
2013-03-01;CHF;94,9;CHF;94,9;CHF;94,9
2013-03-08;CHF;95,1;CHF;95,1;CHF;95,1
2013-03-15;CHF;94,8;CHF;94,8;CHF;94,8
2013-03-22;CHF;91,8;CHF;91,8;CHF;91,8
2013-04-02;CHF;89,1;CHF;89,1;CHF;89,1
2013-04-05;CHF;83,7;CHF;83,7;CHF;83,7
2013-04-12;CHF;87,5;CHF;87,5;CHF;87,5
2013-04-19;CHF;82,4;CHF;82,4;CHF;82,4
2013-04-26;CHF;85,2;CHF;85,2;CHF;85,2
2013-05-03;CHF;84;CHF;84;CHF;84
2013-05-10;CHF;90,5;CHF;90,5;CHF;90,5
2013-05-17;CHF;91,9;CHF;91,9;CHF;91,9
2013-05-31;CHF;89,7;CHF;89,7;CHF;89,7
2013-06-07;CHF;83,2;CHF;83,2;CHF;83,2
2013-06-14;CHF;79,8;CHF;79,8;CHF;79,8
2013-06-21;CHF;78,3;CHF;78,3;CHF;78,3
2013-06-28;CHF;78,1;CHF;78,1;CHF;78,1
2013-07-05;CHF;82,3;CHF;82,3;CHF;82,3
2013-07-12;CHF;86;CHF;86;CHF;86
2013-07-19;CHF;86;CHF;86;CHF;86
2013-07-26;CHF;87,2;CHF;87,2;CHF;87,2
2013-08-02;CHF;89;CHF;89;CHF;89
2013-08-09;CHF;87,5;CHF;87,5;CHF;87,5
2013-08-16;CHF;85;CHF;85;CHF;85
2013-08-23;CHF;82,6;CHF;82,6;CHF;82,6
2013-08-30;CHF;81,7;CHF;81,7;CHF;81,7
2013-09-06;CHF;84,1;CHF;84,1;CHF;84,1
2013-09-13;CHF;86,2;CHF;86,2;CHF;86,2
2013-09-20;CHF;88,4;CHF;88,4;CHF;88,4
2013-09-27;CHF;88,9;CHF;88,9;CHF;88,9
2013-10-04;CHF;85,8;CHF;85,8;CHF;85,8
2013-10-11;CHF;85,6;CHF;85,6;CHF;85,6
2013-10-18;CHF;82,8;CHF;82,8;CHF;82,8
2013-10-25;CHF;81,1;CHF;81,1;CHF;81,1
2013-11-01;CHF;80,9;CHF;80,9;CHF;80,9
2013-11-08;CHF;80;CHF;80;CHF;80
2013-11-15;CHF;79,3;CHF;79,3;CHF;79,3
2013-11-22;CHF;77,5;CHF;77,5;CHF;77,5
2013-11-29;CHF;76,9;CHF;76,9;CHF;76,9
2013-12-06;CHF;75,8;CHF;75,8;CHF;75,8
2013-12-13;CHF;72,8;CHF;72,8;CHF;72,8
2013-12-20;CHF;72,9;CHF;72,9;CHF;72,9
2013-12-30;CHF;75,9;CHF;75,9;CHF;75,9
2013-12-31;CHF;75,7;CHF;75,7;CHF;75,7
2014-01-06;CHF;78,5;CHF;78,5;CHF;78,5
2014-01-10;CHF;77,6;CHF;77,6;CHF;77,6
2014-01-17;CHF;80,5;CHF;80,5;CHF;80,5
2014-01-24;CHF;79,1;CHF;79,1;CHF;79,1
2014-01-31;CHF;77,2;CHF;77,2;CHF;77,2
2014-02-07;CHF;75,3;CHF;75,3;CHF;75,3
2014-02-14;CHF;77,7;CHF;77,7;CHF;77,7
2014-02-21;CHF;78,7;CHF;78,7;CHF;78,7
2014-02-28;CHF;82,6;CHF;82,6;CHF;82,6
2014-03-07;CHF;82,5;CHF;82,5;CHF;82,5
2014-03-14;CHF;79,4;CHF;79,4;CHF;79,4
2014-03-21;CHF;78,5;CHF;78,5;CHF;78,5
2014-03-28;CHF;79,1;CHF;79,1;CHF;79,1
2014-04-04;CHF;81,4;CHF;81,4;CHF;81,4
2014-04-11;CHF;80,4;CHF;80,4;CHF;80,4
2014-04-22;CHF;78,7;CHF;78,7;CHF;78,7
2014-04-25;CHF;79,9;CHF;79,9;CHF;79,9
2014-05-02;CHF;77,4;CHF;77,4;CHF;77,4
2014-05-09;CHF;74,3;CHF;74,3;CHF;74,3
2014-05-16;CHF;73;CHF;73;CHF;73
2014-05-23;CHF;73,4;CHF;73,4;CHF;73,4
2014-06-02;CHF;73,8;CHF;73,8;CHF;73,8
2014-06-06;CHF;74,2;CHF;74,2;CHF;74,2
2014-06-13;CHF;74,1;CHF;74,1;CHF;74,1
2014-06-20;CHF;74,4;CHF;74,4;CHF;74,4
2014-06-27;CHF;74,8;CHF;74,8;CHF;74,8
2014-07-04;CHF;76,3;CHF;76,3;CHF;76,3
2014-07-11;CHF;75,7;CHF;75,7;CHF;75,7
2014-07-18;CHF;77,8;CHF;77,8;CHF;77,8
2014-07-25;CHF;80,7;CHF;80,7;CHF;80,7
2014-08-04;CHF;80,1;CHF;80,1;CHF;80,1
2014-08-08;CHF;80,6;CHF;80,6;CHF;80,6
2014-08-15;CHF;81,1;CHF;81,1;CHF;81,1
2014-08-22;CHF;80,6;CHF;80,6;CHF;80,6
2014-08-29;CHF;80,1;CHF;80,1;CHF;80,1
2014-09-05;CHF;83,6;CHF;83,6;CHF;83,6
2014-09-12;CHF;81,1;CHF;81,1;CHF;81,1
2014-09-19;CHF;78,1;CHF;78,1;CHF;78,1
2014-09-26;CHF;75;CHF;75;CHF;75
2014-10-03;CHF;72,2;CHF;72,2;CHF;72,2
2014-10-10;CHF;70,1;CHF;70,1;CHF;70,1
2014-10-17;CHF;68,9;CHF;68,9;CHF;68,9
2014-10-24;CHF;69,3;CHF;69,3;CHF;69,3
2014-10-31;CHF;68,7;CHF;68,7;CHF;68,7
2014-11-07;CHF;68;CHF;68;CHF;68
2014-11-14;CHF;68,7;CHF;68,7;CHF;68,7
2014-11-21;CHF;67,7;CHF;67,7;CHF;67,7
2014-11-28;CHF;68,3;CHF;68,3;CHF;68,3
2014-12-05;CHF;66,1;CHF;66,1;CHF;66,1
2014-12-12;CHF;62,3;CHF;62,3;CHF;62,3
2014-12-19;CHF;62,1;CHF;62,1;CHF;62,1
2014-12-30;CHF;62,4;CHF;62,4;CHF;62,4
2015-01-06;CHF;65,7;CHF;65,7;CHF;65,7
2015-01-09;CHF;66,8;CHF;66,8;CHF;66,8
2015-01-16;CHF;57,1;CHF;57,1;CHF;57,1
2015-01-23;CHF;55,8;CHF;55,8;CHF;55,8
2015-01-30;CHF;56;CHF;56;CHF;56
2015-02-06;CHF;58,4;CHF;58,4;CHF;58,4
2015-02-13;CHF;61,6;CHF;61,6;CHF;61,6
2015-02-20;CHF;65,9;CHF;65,9;CHF;65,9
2015-02-27;CHF;69;CHF;69;CHF;69
2015-03-06;CHF;69,3;CHF;69,3;CHF;69,3
2015-03-13;CHF;68,4;CHF;68,4;CHF;68,4
2015-03-20;CHF;64,5;CHF;64,5;CHF;64,5
